landmarkID,url,actual_latitude,actual_longitude,noise_lat,noise_long
0,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/165596/f268f0071c1cd65b.jpg,55.9487,-3.20073,55.94856,-3.2012231
1,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/16658/0bde515b84c2b391.jpg,53.3722,-6.2778,53.371937,-6.2779
2,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/14559/b00a53246a0898f0.jpg,51.79,-2.54,51.789852,-2.5399783
3,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/127516/bba39914defa5ca0.jpg,50.4833,-4.0333,50.483578,-4.032746
2,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/14559/c36c08f16255af3d.jpg,51.79,-2.54,51.78994,-2.5402331
4,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/126721/c183f63fa8cc154c.jpg,53.3706,-1.8168,53.37093,-1.8170351
5,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/147828/c1c5c7d1d0548c70.jpg,55.217,-4.017,55.217125,-4.017787
6,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/169349/af62b0b7d423acc9.jpg,54.8819,-1.6583,54.881775,-1.6582173
2,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/14559/0a3bf1d746af4c1c.jpg,51.79,-2.54,51.790096,-2.5394092
2,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/14559/fde65ac767cc611a.jpg,51.79,-2.54,51.7899,-2.5393503
7,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/46500/6ade2b8277d715e1.jpg,52.763,-1.237,52.763294,-1.2372925
4,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/126721/288d6895619c26d9.jpg,53.3706,-1.8168,53.37016,-1.8161408
1,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/16658/15caf8c72476aa7d.jpg,53.3722,-6.2778,53.371986,-6.2781878
5,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/147828/8e6f43c193f4e98f.jpg,55.217,-4.017,55.216614,-4.0176144
0,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/165596/51ca588eb0559dc5.jpg,55.9487,-3.20073,55.94838,-3.2009299
8,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/31531/f3d8b33b54ecfe32.jpg,50.705555,-2.989889,50.705585,-2.9900897
5,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/147828/7c62a19360c94f89.jpg,55.217,-4.017,55.21696,-4.0172615
7,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/46500/24f36b83f5b286b1.jpg,52.763,-1.237,52.763355,-1.2362977
0,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/165596/6450a01096fdfb19.jpg,55.9487,-3.20073,55.948376,-3.2004905
9,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/125786/7d9fdbc2940c4318.jpg,54.3583,-2.9361,54.358242,-2.9361424
7,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/46500/b87170e15c3dc6f6.jpg,52.763,-1.237,52.762764,-1.2372952
3,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/127516/3839a090b5a058d7.jpg,50.4833,-4.0333,50.48352,-4.0335994
3,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/127516/43cf9b7e7a758a08.jpg,50.4833,-4.0333,50.483517,-4.033079
7,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/46500/33d719663f8cda1a.jpg,52.763,-1.237,52.76343,-1.2373668
7,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/46500/c406d79d8e185166.jpg,52.763,-1.237,52.76271,-1.2371662
10,C:/Users/Ben Clark/Desktop/TrainingData/GoogleDataset/photos/125194/c56225854b9c7727.jpg,52.237,0.24,52.236843,0.23984578
